epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1760.15,0.2803,0.2545,0.93674,0.99901,1,0.995,0.97338,0.27437,0.2025,0.75146,0.0011486,0.0011486,0.0011486
45,1799.27,0.27152,0.2431,0.93433,0.99902,1,0.995,0.98427,0.24786,0.19013,0.74552,0.0011288,0.0011288,0.0011288
46,1838.42,0.27279,0.25055,0.93441,0.99488,1,0.995,0.97318,0.27041,0.19649,0.78342,0.001109,0.001109,0.001109
47,1877.38,0.26448,0.24236,0.93352,0.99897,1,0.995,0.98499,0.26489,0.17731,0.76852,0.0010892,0.0010892,0.0010892
48,1916.49,0.27044,0.25129,0.93413,0.99902,1,0.995,0.98086,0.243,0.17786,0.74174,0.0010694,0.0010694,0.0010694
49,1955.6,0.26559,0.23066,0.93455,0.99902,1,0.995,0.98308,0.26837,0.21767,0.76937,0.0010496,0.0010496,0.0010496
50,1994.61,0.27124,0.24689,0.92914,0.94839,1,0.99184,0.97892,0.26542,0.21188,0.77204,0.0010298,0.0010298,0.0010298
51,2033.66,0.26713,0.23316,0.93061,0.99897,1,0.995,0.98827,0.24952,0.16715,0.74428,0.00101,0.00101,0.00101
52,2072.84,0.25541,0.23204,0.92605,0.99891,1,0.995,0.98305,0.22376,0.19577,0.72962,0.0009902,0.0009902,0.0009902
53,2112.13,0.2491,0.21803,0.92468,0.99902,1,0.995,0.98722,0.22053,0.15883,0.72686,0.0009704,0.0009704,0.0009704
54,2151.27,0.25419,0.2365,0.9285,0.99899,1,0.995,0.98504,0.26825,0.24574,0.78144,0.0009506,0.0009506,0.0009506
55,2190.36,0.25101,0.21668,0.92117,0.99899,1,0.995,0.99063,0.23487,0.19247,0.73416,0.0009308,0.0009308,0.0009308
56,2229.4,0.2532,0.22114,0.92807,0.99898,1,0.995,0.98907,0.24215,0.19452,0.76463,0.000911,0.000911,0.000911
57,2268.49,0.24435,0.21939,0.92417,0.98517,1,0.995,0.98187,0.23345,0.1765,0.73219,0.0008912,0.0008912,0.0008912
58,2307.59,0.24675,0.22651,0.92712,0.99905,1,0.995,0.98716,0.21782,0.1675,0.71704,0.0008714,0.0008714,0.0008714
59,2346.69,0.24522,0.21318,0.92745,0.999,1,0.995,0.9812,0.23981,0.16015,0.74363,0.0008516,0.0008516,0.0008516
60,2385.7,0.23848,0.21911,0.91909,0.99905,1,0.995,0.98431,0.23435,0.15723,0.76496,0.0008318,0.0008318,0.0008318
61,2424.8,0.23611,0.21978,0.91565,0.999,1,0.995,0.99116,0.20903,0.16267,0.72288,0.000812,0.000812,0.000812
62,2463.91,0.23193,0.21368,0.92305,0.99905,1,0.995,0.98718,0.22011,0.15635,0.72502,0.0007922,0.0007922,0.0007922
63,2503.02,0.23521,0.20475,0.91856,0.99903,1,0.995,0.98661,0.25082,0.17013,0.75461,0.0007724,0.0007724,0.0007724
64,2542.06,0.23591,0.2022,0.92231,0.99905,1,0.995,0.98932,0.2295,0.1622,0.74498,0.0007526,0.0007526,0.0007526
65,2581.21,0.22874,0.19783,0.91468,1,1,0.995,0.98766,0.20316,0.14273,0.70858,0.0007328,0.0007328,0.0007328
